,User_A,User_B,Interaction
516,angrycrank,CarymaRules,Retweet
517,I_am_Katzen,CarymaRules,Retweet
518,womanatmile0,CarymaRules,Retweet
519,BeaHowse,CarymaRules,Retweet
520,CodieneC,CarymaRules,Retweet
521,angrycrank,CarymaRules,Retweet
522,WakeuptimeNOW,WakeuptimeNOW,Tweet
523,ronmcl57,CarymaRules,Retweet
524,angrycrank,CarymaRules,Retweet
525,greenman_12,CarymaRules,Retweet
526,WakeuptimeNOW,WakeuptimeNOW,Tweet
527,stamps_fan81,CarymaRules,Retweet
528,Manitowan,Manitowan,Tweet
529,AllisonTaylor12,CarymaRules,Retweet
530,StutterLoudly,CarymaRules,Retweet
531,AgnosticBloke,CarymaRules,Retweet
532,MH_Retweeter,TinFoilMedHat,Retweet
533,stephchd,CarymaRules,Retweet
534,ambercurran1,MikeThomey,Retweet
535,Cliffie_75,CarymaRules,Retweet
536,ByTonyRusso,ByTonyRusso,Tweet
537,WakeuptimeNOW,WakeuptimeNOW,Tweet
538,Chatonplaisance,CarymaRules,Retweet
539,Stephani_rr39,CarymaRules,Retweet
540,PolarBears2011,CarymaRules,Retweet
541,ta06,CarymaRules,Retweet
542,KGang2021,CarymaRules,Retweet
543,CodieneC,CarymaRules,Retweet
544,sotightbuddy,CarymaRules,Retweet
545,ItBodes,ItBodes,Tweet
546,sotightbuddy,CarymaRules,Retweet
547,bollywooddotcom,Pandemic_Times,Retweet
548,DannielOickle,CarymaRules,Retweet
549,lkoch99,CarymaRules,Retweet
550,hippadooly,CarymaRules,Retweet
551,tangibullah,CarymaRules,Retweet
552,Pandemic_Times,Pandemic_Times,Tweet
553,HemenwayNicky,CarymaRules,Retweet
554,luvnlaugh,luvnlaugh,Tweet
555,JustBeingMerry,CarymaRules,Retweet
556,JeMich7,CarymaRules,Retweet
557,OnlyMych3ll3,CarymaRules,Retweet
558,JeMich7,CarymaRules,Retweet
559,MumbyJoanne,CarymaRules,Retweet
560,Finniga01093495,Finniga01093495,Tweet
561,joshofar,CarymaRules,Retweet
562,tribalrickshaw,CarymaRules,Retweet
563,luvnlaugh,luvnlaugh,Tweet
564,AvalonResists,CarymaRules,Retweet
565,MrPotat52748843,MrPotat52748843,Tweet
566,JeMich7,CarymaRules,Retweet
567,Cecilia66252401,Cecilia66252401,Tweet
568,mekmtl,CarymaRules,Retweet
569,fulfordharbour,JamesRe13461431,Retweet
570,besthealthyou,besthealthyou,Tweet
571,Cecilia66252401,CarymaRules,Retweet
572,MrPotat52748843,MrPotat52748843,Tweet
573,OnlyMych3ll3,CarymaRules,Retweet
574,emmacoIe,CarymaRules,Retweet
575,7angel144,7angel144,Tweet
576,redfishbluepill,redfishbluepill,Tweet
577,DontVoteSplit,CarymaRules,Retweet
578,terrianndaniel,CarymaRules,Retweet
579,2marisa,CarymaRules,Retweet
580,Vote4Jonty,Vote4Jonty,Tweet
581,rachelxxrock,CarymaRules,Retweet
582,RizziRed,CarymaRules,Retweet
583,JoyCannabis,CarymaRules,Retweet
584,Stevo_King,Stevo_King,Tweet
585,sajanorth22,CarymaRules,Retweet
586,MikeTwome,CarymaRules,Retweet
587,notAlbus_D,CarymaRules,Retweet
588,pippatinki,CarymaRules,Retweet
589,LiberalPatriotx,CarymaRules,Retweet
590,steelershoss,CarymaRules,Retweet
591,Biggfinn58,CarymaRules,Retweet
592,Clarice_Wilcox,CarymaRules,Retweet
593,Clint_ZA,Clint_ZA,Tweet
594,THEHUMANPHASE,THEHUMANPHASE,Tweet
595,luvnlaugh,luvnlaugh,Tweet
596,calvinkholsclaw,calvinkholsclaw,Tweet
597,DanPershick,CarymaRules,Retweet
598,JennLong3,CarymaRules,Retweet
599,AnthonyDamonse,michaelcoren,Retweet
600,barblet30,CarymaRules,Retweet
601,DixieNormis_777,CarymaRules,Retweet
602,TeresaCulhane,CarymaRules,Retweet
603,sethlwilson,CarymaRules,Retweet
604,queeenbish506,CarymaRules,Retweet
605,saada186,saada186,Tweet
606,sgirl_jessie,CarymaRules,Retweet
607,teafortwo_c,CarymaRules,Retweet
608,msmithca11,CarymaRules,Retweet
609,AveryFunPerson,CarymaRules,Retweet
610,krismeloche,CarymaRules,Retweet
611,TeresaCulhane,CarymaRules,Retweet
612,maykur1,CarymaRules,Retweet
613,kojman1,kojman1,Tweet
614,Carla_Johnson,CarymaRules,Retweet
615,hss2k41,CarymaRules,Retweet
616,TeresaCulhane,CarymaRules,Retweet
617,rmalik91,CarymaRules,Retweet
618,Homebythelake,CarymaRules,Retweet
619,antarcticalex,CarymaRules,Retweet
620,kwetoday,CarymaRules,Retweet
621,VAGirlForever,CarymaRules,Retweet
622,DevAtso,CarymaRules,Retweet
623,PoliAnnaRamirez,CarymaRules,Retweet
624,stamps_fan81,CarymaRules,Retweet
625,NNorma192,CarymaRules,Retweet
626,rgyatso,CarymaRules,Retweet
627,JoNoSpader,CarymaRules,Retweet
628,TerryPolevoy,CarymaRules,Retweet
629,ArlMcginnis,CarymaRules,Retweet
630,hburkitt,CarymaRules,Retweet
631,Bmblbeeb,CarymaRules,Retweet
632,MikeTwome,CarymaRules,Retweet
633,MLarmon,CarymaRules,Retweet
634,TacomaGuy60,CarymaRules,Retweet
